sku,description,product_family,component_type,colour,price_aud_ex_gst,supplier_url,image_url
STG-2521-90-VA-L-B,SUMMIT 25x21- 90J - Adj Vert LEFT- BLACK,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Left),Black,16.32,https://glassoutletonline.com.au/product/-/stg-2521-90-va-l-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-L-B.JPG
STG-2521-90-VA-L-P,SUMMIT 25x21- 90J- Adj Vert LEFT- POLISH,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Left),Polished,12.53,https://glassoutletonline.com.au/product/-/stg-2521-90-va-l-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-L-P.JPG
STG-2521-90-VA-L-S,SUMMIT 25x21 - 90J- Adj Vert LEFT- SATIN,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Left),Satin,12.53,https://glassoutletonline.com.au/product/-/stg-2521-90-va-l-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-L-S.JPG
STG-2521-90-VA-R-B,SUMMIT 25x21- 90J- Adj Vert RIGHT- BLACK,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Right),Black,16.32,https://glassoutletonline.com.au/product/-/stg-2521-90-va-r-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-R-B.JPG
STG-2521-90-VA-R-P,SUMMIT 25x21- 90J- Adj Vert RIGHT-POLISH,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Right),Polished,12.53,https://glassoutletonline.com.au/product/-/stg-2521-90-va-r-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-R-P.JPG
STG-2521-90-VA-R-S,SUMMIT 25x21- 90J- Adj Vert RIGHT- SATIN,SUMMIT 25x21mm,90 Deg Joiner - Adjustable Vertical (Right),Satin,12.53,https://glassoutletonline.com.au/product/-/stg-2521-90-va-r-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90-VA-R-S.JPG
STG-2521-90J-B,SUMMIT 25x21mm 90 Deg Joiner - BLACK,SUMMIT 25x21mm,90 Deg Joiner,Black,15.54,https://glassoutletonline.com.au/product/-/stg-2521-90j-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90J-B.JPG
STG-2521-90J-MW,SUMMIT 25x21mm 90 Deg Joiner - WHITE,SUMMIT 25x21mm,90 Deg Joiner,Matte White,16.33,https://glassoutletonline.com.au/product/-/stg-2521-90j-mw,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90J-MW.JPG
STG-2521-90J-P,Summit - 25x21mm - 90 Deg Joiner -POLISH,SUMMIT 25x21mm,90 Deg Joiner,Polished,9.72,https://glassoutletonline.com.au/product/-/stg-2521-90j-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90J-P.JPG
STG-2521-90J-S,Summit - 25x21mm - 90 Deg Joiner - SATIN,SUMMIT 25x21mm,90 Deg Joiner,Satin,9.72,https://glassoutletonline.com.au/product/-/stg-2521-90j-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-90J-S.JPG
STG-2521-EC-B,SUMMIT 25x21mm End Cap - BLACK,SUMMIT 25x21mm,End Cap,Black,5.36,https://glassoutletonline.com.au/product/-/stg-2521-ec-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-EC-B.JPG
